source,target,relation
Styphelia,Styphelia_intertexta,has_species
Styphelia_intertexta,C1_rampant,has_trait
Styphelia,Styphelia_intricata,has_species
Styphelia_intricata,C1_rampant,has_trait
Styphelia,Styphelia_kinkuna,has_species
Styphelia_kinkuna,C1_rampant,has_trait
Styphelia,Styphelia_microcardia,has_species
Styphelia_microcardia,C1_rampant,has_trait
Styphelia,Styphelia_oblongifolia,has_species
Styphelia_oblongifolia,C3_orthotrope,has_trait
Styphelia,Styphelia_piliflora,has_species
Styphelia_piliflora,C1_rampant,has_trait
Styphelia_piliflora,C3_orthotrope,has_trait
Styphelia,Styphelia_rectiloba,has_species
Styphelia_rectiloba,C1_rampant,has_trait
Styphelia,Styphelia_saxicola,has_species
Styphelia_saxicola,C1_rampant,has_trait
Styphelia,Styphelia_sulcata,has_species
Styphelia_sulcata,C3_orthotrope,has_trait
Styphelia,Styphelia_trichostyla,has_species
Styphelia_trichostyla,C1_rampant,has_trait
Styphelia,Styphelia_undulata,has_species
Styphelia_undulata,C1_rampant,has_trait
Styphelia_undulata,C3_orthotrope,has_trait
Styphelia,Styphelia_williamsiorum,has_species
Styphelia_williamsiorum,C1_rampant,has_trait
Styphelia_williamsiorum,C3_orthotrope,has_trait
Styphelia,Styphelia_xerophylla,has_species
Styphelia_xerophylla,C1_rampant,has_trait
Styphelia_xerophylla,C3_orthotrope,has_trait
Synaphea,Synaphea_petiolaris,has_species
Synaphea_petiolaris,C7_cespiteux,has_trait
Synaphea,Synaphea_preissii,has_species
Synaphea_preissii,C6_robuste,has_trait
Synostemon,Synostemon_rhytidospermus,has_species
Synostemon_rhytidospermus,C1_rampant,has_trait
Synostemon_rhytidospermus,C3_orthotrope,has_trait
Tapeinochilos,Tapeinochilos_ananassae,has_species
Tapeinochilos_ananassae,C3_orthotrope,has_trait
Taraxacum,Taraxacum_subbracteatum,has_species
Taraxacum_subbracteatum,C6_robuste,has_trait
Tecticornia,Tecticornia_cymbiformis,has_species
Tecticornia_cymbiformis,C3_orthotrope,has_trait
Tecticornia,Tecticornia_indefessa,has_species
Tecticornia_indefessa,C3_orthotrope,has_trait
Terminalia,Terminalia_prostrata,has_species
Terminalia_prostrata,C3_orthotrope,has_trait
Tersonia,Tersonia_brevipes,has_species
Tersonia_brevipes,C6_robuste,has_trait
Tetracera,Tetracera_nordtiana,has_species
Tetracera_nordtiana,C1_rampant,has_trait
Tetragonia,Tetragonia_coronata,has_species
Tetragonia_coronata,C3_orthotrope,has_trait
Tetragonia_coronata,C8_plagiotrope,has_trait
Tetragonia,Tetragonia_decumbens,has_species
Tetragonia_decumbens,C1_rampant,has_trait
Tetragonia,Tetragonia_moorei,has_species
Tetragonia_moorei,C1_rampant,has_trait
Tetragonia_moorei,C3_orthotrope,has_trait
Tetragonia_moorei,C8_plagiotrope,has_trait
Thelasis,Thelasis_carinata,has_species
Thelasis_carinata,C3_orthotrope,has_trait
Thelymitra,Thelymitra_maculata,has_species
Thelymitra_maculata,C2_volubile,has_trait
Thelymitra,Thelymitra_matthewsii,has_species
Thelymitra_matthewsii,C2_volubile,has_trait
Thelymitra,Thelymitra_orientalis,has_species
Thelymitra_orientalis,C3_orthotrope,has_trait
Thelymitra,Thelymitra_speciosa,has_species
Thelymitra_speciosa,C2_volubile,has_trait
Thelymitra,Thelymitra_spiralis,has_species
Thelymitra_spiralis,C2_volubile,has_trait
Thelymitra,Thelymitra_uliginosa,has_species
Thelymitra_uliginosa,C2_volubile,has_trait
Thunbergia,Thunbergia_mysorensis,has_species
Thunbergia_mysorensis,C2_volubile,has_trait
Thymelaea,Thymelaea_passerina,has_species
Thymelaea_passerina,C3_orthotrope,has_trait
Thymophylla,Thymophylla_tenuiloba,has_species
Thymophylla_tenuiloba,C3_orthotrope,has_trait
Thymophylla_tenuiloba,C8_plagiotrope,has_trait
Thysanotus,Thysanotus_arbuscula,has_species
Thysanotus_arbuscula,C3_orthotrope,has_trait
Thysanotus,Thysanotus_chinensis,has_species
Thysanotus_chinensis,C1_rampant,has_trait
Thysanotus_chinensis,C3_orthotrope,has_trait
Thysanotus_chinensis,C8_plagiotrope,has_trait
Thysanotus,Thysanotus_manglesianus,has_species
Thysanotus_manglesianus,C1_rampant,has_trait
Thysanotus_manglesianus,C2_volubile,has_trait
Thysanotus,Thysanotus_patersonii,has_species
Thysanotus_patersonii,C1_rampant,has_trait
Thysanotus_patersonii,C2_volubile,has_trait
Thysanotus,Thysanotus_pauciflorus,has_species
Thysanotus_pauciflorus,C8_plagiotrope,has_trait
Thysanotus,Thysanotus_pseudojunceus,has_species
Thysanotus_pseudojunceus,C8_plagiotrope,has_trait
Thysanotus,Thysanotus_thyrsoideus,has_species
Thysanotus_thyrsoideus,C3_orthotrope,has_trait
Thysanotus,Thysanotus_wangariensis,has_species
Thysanotus_wangariensis,C1_rampant,has_trait
Thysanotus_wangariensis,C3_orthotrope,has_trait
Tinospora,Tinospora_crispa,has_species
Tinospora_crispa,C3_orthotrope,has_trait
Tmesipteris,Tmesipteris_obliqua,has_species
Tmesipteris_obliqua,C8_plagiotrope,has_trait
Tremulina,Tremulina_cracens,has_species
Tremulina_cracens,C3_orthotrope,has_trait
Triadenum,Triadenum_japonicum,has_species
Triadenum_japonicum,C1_rampant,has_trait
Triadenum_japonicum,C3_orthotrope,has_trait
Trianthema,Trianthema_oxycalyptrum,has_species
Trianthema_oxycalyptrum,C3_orthotrope,has_trait
Tribulopis,Tribulopis_pentandra,has_species
Tribulopis_pentandra,C1_rampant,has_trait
Trichomanes,Trichomanes_atrovirens,has_species
Trichomanes_atrovirens,C3_orthotrope,has_trait
Trichomanes,Trichomanes_bauerianum,has_species
Trichomanes_bauerianum,C3_orthotrope,has_trait
Trichomanes,Trichomanes_caudatum,has_species
Trichomanes_caudatum,C1_rampant,has_trait
Trichomanes,Trichomanes_obscurum,has_species
Trichomanes_obscurum,C1_rampant,has_trait
Trichomanes_obscurum,C3_orthotrope,has_trait
Trichosanthes,Trichosanthes_ovigera,has_species
Trichosanthes_ovigera,C3_orthotrope,has_trait
Tricostularia,Tricostularia_bennettiana,has_species
Tricostularia_bennettiana,C3_orthotrope,has_trait
Tricostularia,Tricostularia_newbeyi,has_species
Tricostularia_newbeyi,C1_rampant,has_trait
Tricostularia_newbeyi,C3_orthotrope,has_trait
Tricostularia,Tricostularia_sandifordiana,has_species
Tricostularia_sandifordiana,C3_orthotrope,has_trait
Triglochin,Triglochin_calcitrapa,has_species
Triglochin_calcitrapa,C3_orthotrope,has_trait
Triglochin,Triglochin_centrocarpa,has_species
Triglochin_centrocarpa,C3_orthotrope,has_trait
Triglochin,Triglochin_hexagona,has_species
Triglochin_hexagona,C3_orthotrope,has_trait
Triglochin,Triglochin_isingiana,has_species
Triglochin_isingiana,C3_orthotrope,has_trait
Triglochin,Triglochin_longicarpa,has_species
Triglochin_longicarpa,C3_orthotrope,has_trait
Triglochin,Triglochin_minutissima,has_species
Triglochin_minutissima,C3_orthotrope,has_trait
Triglochin_minutissima,C8_plagiotrope,has_trait
Triglochin,Triglochin_mucronata,has_species
Triglochin_mucronata,C1_rampant,has_trait
Triglochin_mucronata,C3_orthotrope,has_trait
Triglochin,Triglochin_muelleri,has_species
Triglochin_muelleri,C3_orthotrope,has_trait
Triglochin_muelleri,C8_plagiotrope,has_trait
Triglochin,Triglochin_nana,has_species
Triglochin_nana,C3_orthotrope,has_trait
Triglochin,Triglochin_protuberans,has_species
Triglochin_protuberans,C1_rampant,has_trait
Triglochin_protuberans,C3_orthotrope,has_trait
Triglochin,Triglochin_stowardii,has_species
Triglochin_stowardii,C3_orthotrope,has_trait
Triglochin,Triglochin_turrifera,has_species
Triglochin_turrifera,C1_rampant,has_trait
Triglochin_turrifera,C3_orthotrope,has_trait
Trimenia,Trimenia_moorei,has_species
Trimenia_moorei,C1_rampant,has_trait
Tripterococcus,Tripterococcus_brunonis,has_species
Tripterococcus_brunonis,C3_orthotrope,has_trait
Tropaeolum,Tropaeolum_majus,has_species
Tropaeolum_majus,C1_rampant,has_trait
Tropaeolum_majus,C3_orthotrope,has_trait
Turnera,Turnera_subulata,has_species
Turnera_subulata,C3_orthotrope,has_trait
Turnera_subulata,C8_plagiotrope,has_trait
Typhonium,Typhonium_alismifolium,has_species
Typhonium_alismifolium,C1_rampant,has_trait
Typhonium,Typhonium_brownii,has_species
Typhonium_brownii,C1_rampant,has_trait
Typhonium,Typhonium_eliosurum,has_species
Typhonium_eliosurum,C1_rampant,has_trait
Typhonium,Typhonium_weipanum,has_species
Typhonium_weipanum,C1_rampant,has_trait
Ulmus,Ulmus_procera,has_species
Ulmus_procera,C8_plagiotrope,has_trait
Urospermum,Urospermum_dalechampii,has_species
Urospermum_dalechampii,C1_rampant,has_trait
Vaccaria,Vaccaria_hispanica,has_species
Vaccaria_hispanica,C3_orthotrope,has_trait
Vanilla,Vanilla_planifolia,has_species
Vanilla_planifolia,C3_orthotrope,has_trait
Ventilago,Ventilago_ecorollata,has_species
Ventilago_ecorollata,C3_orthotrope,has_trait
Ventilago,Ventilago_pubiflora,has_species
Ventilago_pubiflora,C3_orthotrope,has_trait
Veronica,Veronica_anagallis-aquatica,has_species
Veronica_anagallis-aquatica,C3_orthotrope,has_trait
Veronica,Veronica_arcuata,has_species
Veronica_arcuata,C1_rampant,has_trait
Veronica_arcuata,C3_orthotrope,has_trait
Veronica,Veronica_arvensis,has_species
Veronica_arvensis,C3_orthotrope,has_trait
Veronica,Veronica_blakelyi,has_species
Veronica_blakelyi,C3_orthotrope,has_trait
Veronica,Veronica_calycina,has_species
Veronica_calycina,C1_rampant,has_trait
Veronica,Veronica_catenata,has_species
Veronica_catenata,C3_orthotrope,has_trait
Veronica,Veronica_continua,has_species
Veronica_continua,C1_rampant,has_trait
Veronica,Veronica_elliptica,has_species
Veronica_elliptica,C1_rampant,has_trait
Veronica_elliptica,C3_orthotrope,has_trait
Veronica,Veronica_formosa,has_species
Veronica_formosa,C1_rampant,has_trait
Veronica,Veronica_gracilis,has_species
Veronica_gracilis,C1_rampant,has_trait
Veronica,Veronica_grosseserrata,has_species
Veronica_grosseserrata,C3_orthotrope,has_trait
Veronica,Veronica_lithophila,has_species
Veronica_lithophila,C1_rampant,has_trait
Veronica_lithophila,C3_orthotrope,has_trait
Veronica,Veronica_nivea,has_species
Veronica_nivea,C3_orthotrope,has_trait
Veronica_nivea,C8_plagiotrope,has_trait
Veronica,Veronica_notabilis,has_species
Veronica_notabilis,C1_rampant,has_trait
Veronica,Veronica_officinalis,has_species
Veronica_officinalis,C3_orthotrope,has_trait
Veronica,Veronica_parnkalliana,has_species
Veronica_parnkalliana,C3_orthotrope,has_trait
Veronica,Veronica_parviflora,has_species
Veronica_parviflora,C3_orthotrope,has_trait
Veronica,Veronica_peregrina,has_species
Veronica_peregrina,C1_rampant,has_trait
Veronica_peregrina,C3_orthotrope,has_trait
Veronica,Veronica_scutellata,has_species
Veronica_scutellata,C3_orthotrope,has_trait
Veronica_scutellata,C8_plagiotrope,has_trait
Veronica,Veronica_serpyllifolia,has_species
Veronica_serpyllifolia,C1_rampant,has_trait
Veronica_serpyllifolia,C3_orthotrope,has_trait
Veronica,Veronica_subtilis,has_species
Veronica_subtilis,C3_orthotrope,has_trait
Veronica,Veronica_velutina,has_species
Veronica_velutina,C1_rampant,has_trait
Veronica_velutina,C3_orthotrope,has_trait
Veronica_velutina,C8_plagiotrope,has_trait
Viola,Viola_arvensis,has_species
Viola_arvensis,C8_plagiotrope,has_trait
Viola,Viola_banksii,has_species
Viola_banksii,C3_orthotrope,has_trait
Viola,Viola_cleistogamoides,has_species
Viola_cleistogamoides,C3_orthotrope,has_trait
Viola,Viola_cunninghamii,has_species
Viola_cunninghamii,C3_orthotrope,has_trait
Viola_cunninghamii,C8_plagiotrope,has_trait
Viola,Viola_curtisiae,has_species
Viola_curtisiae,C3_orthotrope,has_trait
Viola,Viola_eminens,has_species
Viola_eminens,C3_orthotrope,has_trait
Viola_eminens,C7_cespiteux,has_trait
Viola,Viola_fuscoviolacea,has_species
Viola_fuscoviolacea,C3_orthotrope,has_trait
Viola,Viola_hederacea,has_species
Viola_hederacea,C3_orthotrope,has_trait
Viola,Viola_odorata,has_species
Viola_odorata,C3_orthotrope,has_trait
Viola,Viola_perreniformis,has_species
Viola_perreniformis,C3_orthotrope,has_trait
Viola_perreniformis,C7_cespiteux,has_trait
Viola,Viola_riviniana,has_species
Viola_riviniana,C3_orthotrope,has_trait
Viola_riviniana,C8_plagiotrope,has_trait
Viola,Viola_serpentinicola,has_species
Viola_serpentinicola,C3_orthotrope,has_trait
Viola,Viola_sieberiana,has_species
Viola_sieberiana,C3_orthotrope,has_trait
Viola,Viola_silicestris,has_species
Viola_silicestris,C3_orthotrope,has_trait
Viola,Viola_tricolor,has_species
Viola_tricolor,C1_rampant,has_trait
Viola_tricolor,C3_orthotrope,has_trait
Winifredia,Winifredia_sola,has_species
Winifredia_sola,C3_orthotrope,has_trait
Wollastonia,Wollastonia_biflora,has_species
Wollastonia_biflora,C8_plagiotrope,has_trait
Wollastonia,Wollastonia_uniflora,has_species
Wollastonia_uniflora,C3_orthotrope,has_trait
Wollastonia_uniflora,C8_plagiotrope,has_trait
Wurmbea,Wurmbea_inflata,has_species
Wurmbea_inflata,C1_rampant,has_trait
Wurmbea_inflata,C3_orthotrope,has_trait
Xanthorrhoea,Xanthorrhoea_gracilis,has_species
Xanthorrhoea_gracilis,C1_rampant,has_trait
Youngia,Youngia_japonica,has_species
Youngia_japonica,C1_rampant,has_trait
Youngia_japonica,C3_orthotrope,has_trait
Zantedeschia,Zantedeschia_aethiopica,has_species
Zantedeschia_aethiopica,C1_rampant,has_trait
Achyrocline,Achyrocline_arrojadoana,has_species
Achyrocline_arrojadoana,C3_orthotrope,has_trait
Achyrocline,Achyrocline_flavescens,has_species
Achyrocline_flavescens,C3_orthotrope,has_trait
Achyrocline,Achyrocline_vargasiana,has_species
Achyrocline_vargasiana,C3_orthotrope,has_trait
Achyrocline,Achyrocline_vauthieriana,has_species
Achyrocline_vauthieriana,C3_orthotrope,has_trait
Acicarpha,Acicarpha_blupeuroides,has_species
Acicarpha_blupeuroides,C3_orthotrope,has_trait
Acicarpha,Acicarpha_tribuloides,has_species
Acicarpha_tribuloides,C3_orthotrope,has_trait
Acilepidopsis,Acilepidopsis_echitifolia,has_species
Acilepidopsis_echitifolia,C3_orthotrope,has_trait
Aechmea,Aechmea_andersonii,has_species
Aechmea_andersonii,C3_orthotrope,has_trait
Aechmea,Aechmea_glandulosa,has_species
Aechmea_glandulosa,C3_orthotrope,has_trait
Aechmea,Aechmea_pedicellata,has_species
Aechmea_pedicellata,C3_orthotrope,has_trait
Aechmea,Aechmea_victoriana,has_species
Aechmea_victoriana,C3_orthotrope,has_trait
Alcantarea,Alcantarea_robertokautskyi,has_species
Alcantarea_robertokautskyi,C6_robuste,has_trait
Aldama,Aldama_bakeriana,has_species
Aldama_bakeriana,C1_rampant,has_trait
Aldama,Aldama_discolor,has_species
Aldama_discolor,C1_rampant,has_trait
Aldama,Aldama_filifolia,has_species
Aldama_filifolia,C1_rampant,has_trait
Aldama_filifolia,C3_orthotrope,has_trait
Aldama,Aldama_pilicaulis,has_species
Aldama_pilicaulis,C3_orthotrope,has_trait
Aldama,Aldama_vernonioides,has_species
Aldama_vernonioides,C1_rampant,has_trait
Alternanthera,Alternanthera_aquatica,has_species
Alternanthera_aquatica,C6_robuste,has_trait
Alternanthera,Alternanthera_cyclophylla,has_species
Alternanthera_cyclophylla,C3_orthotrope,has_trait
Alternanthera,Alternanthera_dentata,has_species
Alternanthera_dentata,C3_orthotrope,has_trait
Alternanthera,Alternanthera_januarensis,has_species
Alternanthera_januarensis,C3_orthotrope,has_trait
Alternanthera,Alternanthera_kurtzii,has_species
Alternanthera_kurtzii,C3_orthotrope,has_trait
Alternanthera,Alternanthera_tenella,has_species
Alternanthera_tenella,C3_orthotrope,has_trait
Amaranthus,Amaranthus_bahiensis,has_species
Amaranthus_bahiensis,C3_orthotrope,has_trait
Amaranthus,Amaranthus_blitum,has_species
Amaranthus_blitum,C3_orthotrope,has_trait
Amaranthus,Amaranthus_caudatus,has_species
Amaranthus_caudatus,C3_orthotrope,has_trait
Amaranthus,Amaranthus_cruentus,has_species
Amaranthus_cruentus,C3_orthotrope,has_trait
Amaranthus,Amaranthus_hybridus,has_species
Amaranthus_hybridus,C3_orthotrope,has_trait
Amaranthus,Amaranthus_muricatus,has_species
Amaranthus_muricatus,C3_orthotrope,has_trait
Amaranthus,Amaranthus_tricolor,has_species
Amaranthus_tricolor,C3_orthotrope,has_trait
Ancistrothyrsus,Ancistrothyrsus_scopae,has_species
Ancistrothyrsus_scopae,C3_orthotrope,has_trait
Annona,Annona_aurantiaca,has_species
Annona_aurantiaca,C3_orthotrope,has_trait
Anthurium,Anthurium_acutum,has_species
Anthurium_acutum,C3_orthotrope,has_trait
Anthurium,Anthurium_ameliae,has_species
Anthurium_ameliae,C1_rampant,has_trait
Anthurium_ameliae,C3_orthotrope,has_trait
Anthurium,Anthurium_augustinum,has_species
Anthurium_augustinum,C3_orthotrope,has_trait
Anthurium,Anthurium_bellum,has_species
Anthurium_bellum,C1_rampant,has_trait
Anthurium,Anthurium_binotii,has_species
Anthurium_binotii,C3_orthotrope,has_trait
Anthurium,Anthurium_bocainense,has_species
Anthurium_bocainense,C3_orthotrope,has_trait
Anthurium,Anthurium_boudetii,has_species
Anthurium_boudetii,C3_orthotrope,has_trait
Anthurium,Anthurium_bragae,has_species
Anthurium_bragae,C3_orthotrope,has_trait
Anthurium,Anthurium_comtum,has_species
Anthurium_comtum,C3_orthotrope,has_trait
Anthurium,Anthurium_fragae,has_species
Anthurium_fragae,C3_orthotrope,has_trait
Anthurium,Anthurium_gomesianum,has_species
Anthurium_gomesianum,C3_orthotrope,has_trait
Anthurium,Anthurium_hatschbachii,has_species
Anthurium_hatschbachii,C3_orthotrope,has_trait
Anthurium,Anthurium_hoehnei,has_species
Anthurium_hoehnei,C3_orthotrope,has_trait
Anthurium,Anthurium_ianthinopodum,has_species
Anthurium_ianthinopodum,C3_orthotrope,has_trait
Anthurium,Anthurium_intermedium,has_species
Anthurium_intermedium,C3_orthotrope,has_trait
Anthurium,Anthurium_jilekii,has_species
Anthurium_jilekii,C3_orthotrope,has_trait
Anthurium,Anthurium_jureianum,has_species
Anthurium_jureianum,C3_orthotrope,has_trait
Anthurium,Anthurium_lacerdae,has_species
Anthurium_lacerdae,C3_orthotrope,has_trait
Anthurium,Anthurium_langsdorffii,has_species
Anthurium_langsdorffii,C3_orthotrope,has_trait
Anthurium_langsdorffii,C8_plagiotrope,has_trait
Anthurium,Anthurium_lhotzkyanum,has_species
Anthurium_lhotzkyanum,C3_orthotrope,has_trait
Anthurium,Anthurium_longipes,has_species
Anthurium_longipes,C1_rampant,has_trait
Anthurium,Anthurium_malyi,has_species
Anthurium_malyi,C1_rampant,has_trait
Anthurium,Anthurium_radicans,has_species
Anthurium_radicans,C1_rampant,has_trait
Anthurium,Anthurium_sagrilloanum,has_species
Anthurium_sagrilloanum,C3_orthotrope,has_trait
Anthurium,Anthurium_theofiloanum,has_species
Anthurium_theofiloanum,C3_orthotrope,has_trait
Anthurium,Anthurium_thrinax,has_species
Anthurium_thrinax,C3_orthotrope,has_trait
Anthurium,Anthurium_xanthophylloides,has_species
Anthurium_xanthophylloides,C3_orthotrope,has_trait
Antiphytum,Antiphytum_berroi,has_species
Antiphytum_berroi,C3_orthotrope,has_trait
Apalanthe,Apalanthe_granatensis,has_species
Apalanthe_granatensis,C3_orthotrope,has_trait
Argythamnia,Argythamnia_montevidensis,has_species
Argythamnia_montevidensis,C3_orthotrope,has_trait
Aristolochia,Aristolochia_gardneri,has_species
Aristolochia_gardneri,C3_orthotrope,has_trait
Arundinella,Arundinella_berteroniana,has_species
Arundinella_berteroniana,C3_orthotrope,has_trait
Arundinella,Arundinella_deppeana,has_species
Arundinella_deppeana,C3_orthotrope,has_trait
Arundinella,Arundinella_hispida,has_species
Arundinella_hispida,C3_orthotrope,has_trait
Arundo,Arundo_donax,has_species
Arundo_donax,C3_orthotrope,has_trait
Aspidosperma,Aspidosperma_pyrifolium,has_species
Aspidosperma_pyrifolium,C3_orthotrope,has_trait
Aspidosperma,Aspidosperma_refractum,has_species
Aspidosperma_refractum,C3_orthotrope,has_trait
Aspilia,Aspilia_attenuata,has_species
Aspilia_attenuata,C3_orthotrope,has_trait
Aspilia,Aspilia_bishoplecta,has_species
Aspilia_bishoplecta,C3_orthotrope,has_trait
Aspilia,Aspilia_discolor,has_species
Aspilia_discolor,C3_orthotrope,has_trait
Aspilia,Aspilia_eglerii,has_species
Aspilia_eglerii,C3_orthotrope,has_trait
Aspilia,Aspilia_erosa,has_species
Aspilia_erosa,C3_orthotrope,has_trait
Aspilia,Aspilia_floribunda,has_species
Aspilia_floribunda,C3_orthotrope,has_trait
Aspilia,Aspilia_silphioides,has_species
Aspilia_silphioides,C3_orthotrope,has_trait
Asteropsis,Asteropsis_megapotamica,has_species
Asteropsis_megapotamica,C3_orthotrope,has_trait
Attalea,Attalea_barreirensis,has_species
Attalea_barreirensis,C1_rampant,has_trait
Attalea,Attalea_exigua,has_species
Attalea_exigua,C1_rampant,has_trait
Attalea,Attalea_plowmanii,has_species
Attalea_plowmanii,C1_rampant,has_trait
Austroeupatorium,Austroeupatorium_apensis,has_species
Austroeupatorium_apensis,C3_orthotrope,has_trait
Austroeupatorium,Austroeupatorium_petrophilum,has_species
Austroeupatorium_petrophilum,C3_orthotrope,has_trait
Baccharis,Baccharis_apicifoliosa,has_species
Baccharis_apicifoliosa,C3_orthotrope,has_trait
Baccharis,Baccharis_articulata,has_species
Baccharis_articulata,C3_orthotrope,has_trait
Baccharis,Baccharis_crispa,has_species
Baccharis_crispa,C3_orthotrope,has_trait
Baccharis,Baccharis_dunensis,has_species
Baccharis_dunensis,C3_orthotrope,has_trait
Baccharis,Baccharis_glaziovii,has_species
Baccharis_glaziovii,C3_orthotrope,has_trait
Baccharis,Baccharis_junciformis,has_species
Baccharis_junciformis,C3_orthotrope,has_trait
Baccharis,Baccharis_microcephala,has_species
Baccharis_microcephala,C3_orthotrope,has_trait
Baccharis,Baccharis_milleflora,has_species
Baccharis_milleflora,C3_orthotrope,has_trait
Baccharis,Baccharis_organensis,has_species
Baccharis_organensis,C3_orthotrope,has_trait
Baccharis,Baccharis_penningtonii,has_species
Baccharis_penningtonii,C3_orthotrope,has_trait
Baccharis,Baccharis_pentaptera,has_species
Baccharis_pentaptera,C3_orthotrope,has_trait
Baccharis,Baccharis_phyteumoides,has_species
Baccharis_phyteumoides,C3_orthotrope,has_trait
Baccharis,Baccharis_pseudovillosa,has_species
Baccharis_pseudovillosa,C3_orthotrope,has_trait
Baccharis,Baccharis_sagittalis,has_species
Baccharis_sagittalis,C3_orthotrope,has_trait
Baccharis,Baccharis_subtropicalis,has_species
Baccharis_subtropicalis,C3_orthotrope,has_trait
Barbosella,Barbosella_miersii,has_species
Barbosella_miersii,C3_orthotrope,has_trait
Barjonia,Barjonia_chlorifolia,has_species
Barjonia_chlorifolia,C3_orthotrope,has_trait
Barjonia,Barjonia_glazioui,has_species
Barjonia_glazioui,C3_orthotrope,has_trait
Barrosoa,Barrosoa_candolleana,has_species
Barrosoa_candolleana,C3_orthotrope,has_trait
Begonia,Begonia_albidula,has_species
Begonia_albidula,C3_orthotrope,has_trait
Begonia,Begonia_boraceiensis,has_species
Begonia_boraceiensis,C3_orthotrope,has_trait
Begonia,Begonia_caraguatatubensis,has_species
Begonia_caraguatatubensis,C3_orthotrope,has_trait
Begonia,Begonia_catharinensis,has_species
Begonia_catharinensis,C3_orthotrope,has_trait
Begonia,Begonia_coccinea,has_species
Begonia_coccinea,C3_orthotrope,has_trait
Begonia,Begonia_cucullata,has_species
Begonia_cucullata,C3_orthotrope,has_trait
Begonia,Begonia_fischeri,has_species
Begonia_fischeri,C3_orthotrope,has_trait
Begonia,Begonia_hirtella,has_species
Begonia_hirtella,C3_orthotrope,has_trait
Begonia,Begonia_inculta,has_species
Begonia_inculta,C3_orthotrope,has_trait
Begonia_inculta,C5_flexueux,has_trait
Begonia,Begonia_isopterocarpa,has_species
Begonia_isopterocarpa,C3_orthotrope,has_trait
Begonia,Begonia_jureiensis,has_species
Begonia_jureiensis,C3_orthotrope,has_trait
Begonia,Begonia_longibarbata,has_species
Begonia_longibarbata,C3_orthotrope,has_trait
Begonia,Begonia_nuda,has_species
Begonia_nuda,C3_orthotrope,has_trait
Begonia,Begonia_odeteiantha,has_species
Begonia_odeteiantha,C3_orthotrope,has_trait
Begonia,Begonia_salesopolensis,has_species
Begonia_salesopolensis,C3_orthotrope,has_trait
Begonia,Begonia_solitudinis,has_species
Begonia_solitudinis,C3_orthotrope,has_trait
Begonia,Begonia_subvillosa,has_species
Begonia_subvillosa,C3_orthotrope,has_trait
Begonia,Begonia_windischii,has_species
Begonia_windischii,C3_orthotrope,has_trait
Beloglottis,Beloglottis_costaricensis,has_species
Beloglottis_costaricensis,C1_rampant,has_trait
Boehmeria,Boehmeria_nivea,has_species
Boehmeria_nivea,C3_orthotrope,has_trait
Botrypus,Botrypus_virginianus,has_species
Botrypus_virginianus,C3_orthotrope,has_trait
Bouchetia,Bouchetia_anomala,has_species
Bouchetia_anomala,C3_orthotrope,has_trait
Bouteloua,Bouteloua_americana,has_species
Bouteloua_americana,C3_orthotrope,has_trait
Bouteloua,Bouteloua_aristidoides,has_species
Bouteloua_aristidoides,C3_orthotrope,has_trait
Bouteloua,Bouteloua_brasiliensis,has_species
Bouteloua_brasiliensis,C3_orthotrope,has_trait
Bouteloua,Bouteloua_megapotamica,has_species
Bouteloua_megapotamica,C3_orthotrope,has_trait
Brachionidium,Brachionidium_restrepioides,has_species
Brachionidium_restrepioides,C3_orthotrope,has_trait
Brassica,Brassica_juncea,has_species
Brassica_juncea,C3_orthotrope,has_trait
Buddleja,Buddleja_angusticarpa,has_species
Buddleja_angusticarpa,C3_orthotrope,has_trait
Buddleja,Buddleja_thyrsoides,has_species
Buddleja_thyrsoides,C3_orthotrope,has_trait
Byrsonima,Byrsonima_hatschbachii,has_species
Byrsonima_hatschbachii,C1_rampant,has_trait
Byrsonima,Byrsonima_psilandra,has_species
Byrsonima_psilandra,C1_rampant,has_trait
Byrsonima,Byrsonima_rigida,has_species
Byrsonima_rigida,C1_rampant,has_trait
Byrsonima,Byrsonima_viminifolia,has_species
Byrsonima_viminifolia,C1_rampant,has_trait
Cakile,Cakile_maritima,has_species
Cakile_maritima,C3_orthotrope,has_trait
Calea,Calea_pohliana,has_species
Calea_pohliana,C3_orthotrope,has_trait
Calibrachoa,Calibrachoa_heterophylla,has_species
Calibrachoa_heterophylla,C3_orthotrope,has_trait
Calibrachoa,Calibrachoa_linoides,has_species
Calibrachoa_linoides,C3_orthotrope,has_trait
Calliandra,Calliandra_gardneri,has_species
Calliandra_gardneri,C3_orthotrope,has_trait
Calliandra,Calliandra_semisepulta,has_species
Calliandra_semisepulta,C1_rampant,has_trait
Capsella,Capsella_bursa-pastoris,has_species
Capsella_bursa-pastoris,C3_orthotrope,has_trait
Cardamine,Cardamine_chenopodiifolia,has_species
Cardamine_chenopodiifolia,C3_orthotrope,has_trait
Carduus,Carduus_tenuiflorus,has_species
Carduus_tenuiflorus,C3_orthotrope,has_trait
Carduus,Carduus_thoermeri,has_species
Carduus_thoermeri,C3_orthotrope,has_trait
Carpobrotus,Carpobrotus_edulis,has_species
Carpobrotus_edulis,C1_rampant,has_trait
Cattleya,Cattleya_lundii,has_species
Cattleya_lundii,C1_rampant,has_trait
Cattleya,Cattleya_warneri,has_species
Cattleya_warneri,C1_rampant,has_trait
